YEAR,OFFENSE-DESC,OFFENSE-DESC
2016,Drug Arrest,9271
2016,TABC-Liquor Law Violation,8396
2016,Larceny,5789
2016,Obstruction of Justice,2453
2016,Family Violence,2362
2016,Panhandling,2070
2016,Trespassing,1151
2016,Weapon Violation,1012
2016,Traffic Violation,955
2016,Prostitution,833
2016,Assault,783
2016,Driving While Intoxicated,471
2016,Fraud,458
2016,Vandalism,413
2016,Aggravated Assault,395
2016,Theft of Vehicle,322
2016,Burglary Vehicle,289
2016,Aggravated Family Violence,261
2016,Aggravated Robbery Individual,202
2016,Threats,198
2016,Deadly Conduct,194
2016,Burglary Habitation,171
2016,Burglary Building,126
2016,Protective Order Violation,100
2016,Unauthorized Use of Motor Vehicle,98
2016,Injury to a Child,96
2016,Indecent Exposure,69
2016,Robbery Business,64
2016,Injury to Elderly Person,63
2016,Robbery Individual,59
2016,Graffiti,49
2016,Sexual Assault,41
2016,Aggravated Robbery Business,34
2016,Kidnapping,33
2016,Arson,20
2016,Murder,19
2016,Indecency with a Child,15
2016,Aggravated Sexual Assault,14
2016,Manslaughter,14
2016,Intoxication Assault,10
2016,Stalking,10
2016,VICE Violation,10
2016,Capital Murder,6
2016,Indecency/Obscenity,1
2017,Drug Arrest,13821
2017,TABC-Liquor Law Violation,9407
2017,Larceny,5203
2017,Obstruction of Justice,3043
2017,Family Violence,2593
2017,Panhandling,1707
2017,Trespassing,1579
2017,Weapon Violation,1336
2017,Traffic Violation,1147
2017,Assault,818
2017,Prostitution,748
2017,Driving While Intoxicated,638
2017,Vandalism,507
2017,Fraud,497
2017,Aggravated Assault,455
2017,Theft of Vehicle,329
2017,Aggravated Family Violence,285
2017,Burglary Vehicle,244
2017,Deadly Conduct,244
2017,Threats,200
2017,Aggravated Robbery Individual,164
2017,Protective Order Violation,128
2017,Burglary Habitation,127
2017,Unauthorized Use of Motor Vehicle,126
2017,Injury to a Child,120
2017,Robbery Individual,116
2017,Burglary Building,97
2017,Robbery Business,97
2017,Injury to Elderly Person,81
2017,Aggravated Robbery Business,73
2017,Sexual Assault,54
2017,Indecent Exposure,42
2017,Graffiti,38
2017,Kidnapping,22
2017,Arson,17
2017,VICE Violation,16
2017,Indecency with a Child,14
2017,Murder,10
2017,Aggravated Sexual Assault,9
2017,Manslaughter,9
2017,Indecency/Obscenity,7
2017,Intoxication Assault,7
2017,Capital Murder,5
2017,Stalking,4
2017,Sex Offender Violation,2
2018,Drug Arrest,16372
2018,TABC-Liquor Law Violation,10098
2018,Larceny,5297
2018,Obstruction of Justice,3493
2018,Family Violence,2881
2018,Panhandling,1656
2018,Trespassing,1546
2018,Traffic Violation,1351
2018,Weapon Violation,1345
2018,Assault,876
2018,Prostitution,795
2018,Driving While Intoxicated,755
2018,Fraud,539
2018,Aggravated Assault,517
2018,Vandalism,445
2018,Aggravated Family Violence,350
2018,Threats,235
2018,Theft of Vehicle,221
2018,Unauthorized Use of Motor Vehicle,218
2018,Deadly Conduct,185
2018,Burglary Vehicle,161
2018,Protective Order Violation,146
2018,Injury to a Child,133
2018,Burglary Building,114
2018,Burglary Habitation,114
2018,Injury to Elderly Person,113
2018,Indecent Exposure,85
2018,Aggravated Robbery Individual,77
2018,Robbery Business,60
2018,Aggravated Robbery Business,57
2018,Robbery Individual,57
2018,Arson,38
2018,Sexual Assault,37
2018,Graffiti,32
2018,Kidnapping,32
2018,VICE Violation,25
2018,Intoxication Assault,24
2018,Murder,21
2018,Manslaughter,19
2018,Aggravated Sexual Assault,14
2018,Indecency with a Child,13
2018,Sex Offender Violation,6
2018,Indecency/Obscenity,4
2018,Stalking,4
2018,Capital Murder,3
