ZIP,OFFENSE-DESC,OFFENSE-DESC
78006,TABC-Liquor Law Violation,2
78015,TABC-Liquor Law Violation,1
78023,Drug Arrest,46
78023,TABC-Liquor Law Violation,29
78023,Family Violence,14
78023,Panhandling,11
78023,Larceny,10
78023,Obstruction of Justice,10
78023,Theft of Vehicle,6
78023,Fraud,5
78023,Assault,4
78023,Vandalism,4
78023,Burglary Vehicle,3
78023,Driving While Intoxicated,3
78023,Traffic Violation,3
78023,Trespassing,3
78023,Threats,2
78023,Aggravated Family Violence,1
78023,Aggravated Sexual Assault,1
78023,Burglary Habitation,1
78023,Deadly Conduct,1
78023,Kidnapping,1
78025,Panhandling,1
78056,Drug Arrest,1
78069,Drug Arrest,1
78070,Driving While Intoxicated,2
78070,Aggravated Assault,1
78070,Drug Arrest,1
78070,Panhandling,1
78070,Traffic Violation,1
78073,Drug Arrest,21
78073,TABC-Liquor Law Violation,5
78073,Aggravated Robbery Business,4
78073,Family Violence,3
78073,Aggravated Robbery Individual,2
78073,Panhandling,2
78073,Trespassing,2
78073,Unauthorized Use of Motor Vehicle,2
78073,Injury to a Child,1
78073,Larceny,1
78108,TABC-Liquor Law Violation,2
78108,Drug Arrest,1
78109,Drug Arrest,48
78109,Obstruction of Justice,16
78109,Family Violence,11
78109,TABC-Liquor Law Violation,9
78109,Fraud,5
78109,Larceny,5
78109,Trespassing,5
78109,Assault,3
78109,Panhandling,3
78109,Weapon Violation,3
78109,Burglary Vehicle,2
78109,Traffic Violation,2
78109,Vandalism,2
78109,Aggravated Assault,1
78109,Aggravated Family Violence,1
78109,Aggravated Robbery Business,1
78109,Deadly Conduct,1
78109,Driving While Intoxicated,1
78109,Indecency with a Child,1
78109,Intoxication Assault,1
78109,Kidnapping,1
78109,Prostitution,1
78109,Robbery Business,1
78112,Drug Arrest,5
78112,TABC-Liquor Law Violation,4
78112,Family Violence,2
78112,Aggravated Assault,1
78112,Panhandling,1
78112,Traffic Violation,1
78121,Assault,1
78130,TABC-Liquor Law Violation,52
78130,Drug Arrest,4
78130,Panhandling,3
78130,Driving While Intoxicated,1
78130,Fraud,1
78130,Larceny,1
78130,Theft of Vehicle,1
78130,Traffic Violation,1
78132,TABC-Liquor Law Violation,1
78132,Weapon Violation,1
78148,Drug Arrest,3
78148,Theft of Vehicle,2
